location,date,vaccine,total_vaccinations
Cyprus,2021-05-07,Moderna,21442
Cyprus,2021-05-07,Oxford/AstraZeneca,95843
Cyprus,2021-05-07,Pfizer/BioNTech,238811
Cyprus,2021-05-14,Johnson&Johnson,5662
Cyprus,2021-05-14,Moderna,28322
Cyprus,2021-05-14,Oxford/AstraZeneca,121922
Cyprus,2021-05-14,Pfizer/BioNTech,280990
Cyprus,2021-05-21,Moderna,37412
Cyprus,2021-05-21,Oxford/AstraZeneca,146980
Cyprus,2021-05-21,Pfizer/BioNTech,329219
Cyprus,2021-05-28,Moderna,44461
Cyprus,2021-05-28,Oxford/AstraZeneca,164905
Cyprus,2021-05-28,Pfizer/BioNTech,375417
Cyprus,2021-06-04,Moderna,48348
Cyprus,2021-06-04,Oxford/AstraZeneca,175900
Cyprus,2021-06-04,Pfizer/BioNTech,413070
Cyprus,2021-06-11,Johnson&Johnson,6062
Cyprus,2021-06-11,Moderna,54602
Cyprus,2021-06-11,Oxford/AstraZeneca,187096
Cyprus,2021-06-11,Pfizer/BioNTech,448481
Cyprus,2021-06-18,Johnson&Johnson,12893
Cyprus,2021-06-18,Moderna,63102
Cyprus,2021-06-18,Oxford/AstraZeneca,197068
Cyprus,2021-06-18,Pfizer/BioNTech,481659
Cyprus,2021-06-25,Johnson&Johnson,14120
Cyprus,2021-06-25,Moderna,70093
Cyprus,2021-06-25,Oxford/AstraZeneca,204489
Cyprus,2021-06-25,Pfizer/BioNTech,502831
Cyprus,2021-07-02,Johnson&Johnson,14538
Cyprus,2021-07-02,Moderna,72330
Cyprus,2021-07-02,Oxford/AstraZeneca,218282
Cyprus,2021-07-02,Pfizer/BioNTech,532435
Cyprus,2021-07-09,Johnson&Johnson,14983
Cyprus,2021-07-09,Moderna,73098
Cyprus,2021-07-09,Oxford/AstraZeneca,237295
Cyprus,2021-07-09,Pfizer/BioNTech,562226
Cyprus,2021-07-16,Johnson&Johnson,16069
Cyprus,2021-07-16,Moderna,74634
Cyprus,2021-07-16,Oxford/AstraZeneca,245037
Cyprus,2021-07-16,Pfizer/BioNTech,587758
Cyprus,2021-07-23,Johnson&Johnson,17238
Cyprus,2021-07-23,Moderna,75705
Cyprus,2021-07-23,Oxford/AstraZeneca,248027
Cyprus,2021-07-23,Pfizer/BioNTech,610918
Cyprus,2021-07-30,Johnson&Johnson,17941
Cyprus,2021-07-30,Moderna,77108
Cyprus,2021-07-30,Oxford/AstraZeneca,250656
Cyprus,2021-07-30,Pfizer/BioNTech,631808
Cyprus,2021-08-06,Johnson&Johnson,18413
Cyprus,2021-08-06,Moderna,77977
Cyprus,2021-08-06,Oxford/AstraZeneca,251491
Cyprus,2021-08-06,Pfizer/BioNTech,660222
Cyprus,2021-08-13,Johnson&Johnson,18707
Cyprus,2021-08-13,Moderna,79747
Cyprus,2021-08-13,Oxford/AstraZeneca,251776
Cyprus,2021-08-13,Pfizer/BioNTech,680711
Cyprus,2021-08-20,Johnson&Johnson,19289
Cyprus,2021-08-20,Moderna,80930
Cyprus,2021-08-20,Oxford/AstraZeneca,251996
Cyprus,2021-08-20,Pfizer/BioNTech,697820
Cyprus,2021-08-27,Johnson&Johnson,19609
Cyprus,2021-08-27,Moderna,81764
Cyprus,2021-08-27,Oxford/AstraZeneca,252190
Cyprus,2021-08-27,Pfizer/BioNTech,713626
Cyprus,2021-09-03,Johnson&Johnson,19899
Cyprus,2021-09-03,Moderna,82721
Cyprus,2021-09-03,Oxford/AstraZeneca,252412
Cyprus,2021-09-03,Pfizer/BioNTech,724488
Cyprus,2021-09-10,Johnson&Johnson,20125
Cyprus,2021-09-10,Moderna,83957
Cyprus,2021-09-10,Oxford/AstraZeneca,252639
Cyprus,2021-09-10,Pfizer/BioNTech,736172
Cyprus,2021-09-17,Johnson&Johnson,20396
Cyprus,2021-09-17,Moderna,84677
Cyprus,2021-09-17,Oxford/AstraZeneca,252796
Cyprus,2021-09-17,Pfizer/BioNTech,746065
Cyprus,2021-09-24,Johnson&Johnson,20497
Cyprus,2021-09-24,Moderna,85350
Cyprus,2021-09-24,Oxford/AstraZeneca,253940
Cyprus,2021-09-24,Pfizer/BioNTech,756373
Cyprus,2021-10-01,Johnson&Johnson,20824
Cyprus,2021-10-01,Moderna,85988
Cyprus,2021-10-01,Oxford/AstraZeneca,254041
Cyprus,2021-10-01,Pfizer/BioNTech,767913
Cyprus,2021-10-08,Johnson&Johnson,20854
Cyprus,2021-10-08,Moderna,86772
Cyprus,2021-10-08,Oxford/AstraZeneca,254117
Cyprus,2021-10-08,Pfizer/BioNTech,782614
Cyprus,2021-10-15,Johnson&Johnson,20884
Cyprus,2021-10-15,Moderna,88109
Cyprus,2021-10-15,Oxford/AstraZeneca,254198
Cyprus,2021-10-15,Pfizer/BioNTech,795143
Cyprus,2021-10-22,Johnson&Johnson,20992
Cyprus,2021-10-22,Moderna,88935
Cyprus,2021-10-22,Oxford/AstraZeneca,254272
Cyprus,2021-10-22,Pfizer/BioNTech,804377
Cyprus,2021-10-29,Johnson&Johnson,21082
Cyprus,2021-10-29,Moderna,89426
Cyprus,2021-10-29,Oxford/AstraZeneca,254303
Cyprus,2021-10-29,Pfizer/BioNTech,810666
Cyprus,2021-11-05,Johnson&Johnson,21171
Cyprus,2021-11-05,Moderna,90203
Cyprus,2021-11-05,Oxford/AstraZeneca,254331
Cyprus,2021-11-05,Pfizer/BioNTech,819330
Cyprus,2021-11-12,Johnson&Johnson,21316
Cyprus,2021-11-12,Moderna,91843
Cyprus,2021-11-12,Oxford/AstraZeneca,254353
Cyprus,2021-11-12,Pfizer/BioNTech,832000
Cyprus,2021-11-19,Johnson&Johnson,21521
Cyprus,2021-11-19,Moderna,93787
Cyprus,2021-11-19,Oxford/AstraZeneca,254383
Cyprus,2021-11-19,Pfizer/BioNTech,851516
Cyprus,2021-11-26,Johnson&Johnson,21906
Cyprus,2021-11-26,Moderna,96114
Cyprus,2021-11-26,Oxford/AstraZeneca,254415
Cyprus,2021-11-26,Pfizer/BioNTech,890544
Cyprus,2021-12-03,Johnson&Johnson,22656
Cyprus,2021-12-03,Moderna,99091
Cyprus,2021-12-03,Oxford/AstraZeneca,254428
Cyprus,2021-12-03,Pfizer/BioNTech,936015
Cyprus,2021-12-10,Johnson&Johnson,23569
Cyprus,2021-12-10,Moderna,102368
Cyprus,2021-12-10,Oxford/AstraZeneca,254441
Cyprus,2021-12-10,Pfizer/BioNTech,980942
Cyprus,2021-12-17,Johnson&Johnson,24767
Cyprus,2021-12-17,Moderna,108115
Cyprus,2021-12-17,Oxford/AstraZeneca,254478
Cyprus,2021-12-17,Pfizer/BioNTech,1033169
Cyprus,2021-12-24,Johnson&Johnson,25849
Cyprus,2021-12-24,Moderna,118663
Cyprus,2021-12-24,Oxford/AstraZeneca,254487
Cyprus,2021-12-24,Pfizer/BioNTech,1059195
Cyprus,2021-12-31,Johnson&Johnson,26550
Cyprus,2021-12-31,Moderna,135385
Cyprus,2021-12-31,Oxford/AstraZeneca,254490
Cyprus,2021-12-31,Pfizer/BioNTech,1077488
Cyprus,2022-01-07,Johnson&Johnson,26780
Cyprus,2022-01-07,Moderna,152342
Cyprus,2022-01-07,Oxford/AstraZeneca,254494
Cyprus,2022-01-07,Pfizer/BioNTech,1096838
Cyprus,2022-01-14,Johnson&Johnson,27670
Cyprus,2022-01-14,Moderna,165686
Cyprus,2022-01-14,Oxford/AstraZeneca,254507
Cyprus,2022-01-14,Pfizer/BioNTech,1119693
Cyprus,2022-01-21,Johnson&Johnson,28415
Cyprus,2022-01-21,Moderna,172313
Cyprus,2022-01-21,Oxford/AstraZeneca,254513
Cyprus,2022-01-21,Pfizer/BioNTech,1141630
Cyprus,2022-01-28,Johnson&Johnson,29058
Cyprus,2022-01-28,Moderna,176407
Cyprus,2022-01-28,Oxford/AstraZeneca,254519
Cyprus,2022-01-28,Pfizer/BioNTech,1155031
Cyprus,2022-02-04,Johnson&Johnson,29481
Cyprus,2022-02-04,Moderna,179903
Cyprus,2022-02-04,Pfizer/BioNTech,1168200
Cyprus,2022-02-11,Johnson&Johnson,29758
Cyprus,2022-02-11,Moderna,183180
Cyprus,2022-02-11,Oxford/AstraZeneca,254525
Cyprus,2022-02-11,Pfizer/BioNTech,1179200
Cyprus,2022-02-18,Johnson&Johnson,30029
Cyprus,2022-02-18,Moderna,185029
Cyprus,2022-02-18,Oxford/AstraZeneca,254528
Cyprus,2022-02-18,Pfizer/BioNTech,1185994
Cyprus,2022-02-25,Johnson&Johnson,30283
Cyprus,2022-02-25,Moderna,186364
Cyprus,2022-02-25,Pfizer/BioNTech,1191164
Cyprus,2022-03-04,Johnson&Johnson,30429
Cyprus,2022-03-04,Moderna,187719
Cyprus,2022-03-04,Pfizer/BioNTech,1196073
Cyprus,2022-03-11,Johnson&Johnson,30513
Cyprus,2022-03-11,Moderna,188627
Cyprus,2022-03-11,Novavax,14
Cyprus,2022-03-11,Oxford/AstraZeneca,254531
Cyprus,2022-03-11,Pfizer/BioNTech,1199916
Cyprus,2022-03-18,Johnson&Johnson,30595
Cyprus,2022-03-18,Moderna,189642
Cyprus,2022-03-18,Novavax,45
Cyprus,2022-03-18,Pfizer/BioNTech,1203509
Cyprus,2022-03-25,Johnson&Johnson,30615
Cyprus,2022-03-25,Moderna,190518
Cyprus,2022-03-25,Pfizer/BioNTech,1206756
Cyprus,2022-04-01,Johnson&Johnson,30623
Cyprus,2022-04-01,Moderna,191423
Cyprus,2022-04-01,Novavax,58
Cyprus,2022-04-01,Pfizer/BioNTech,1211588
Cyprus,2022-04-08,Johnson&Johnson,30713
Cyprus,2022-04-08,Moderna,192513
Cyprus,2022-04-08,Novavax,91
Cyprus,2022-04-08,Pfizer/BioNTech,1216645
Cyprus,2022-04-15,Johnson&Johnson,30748
Cyprus,2022-04-15,Moderna,193620
Cyprus,2022-04-15,Novavax,105
Cyprus,2022-04-15,Pfizer/BioNTech,1221329
Cyprus,2022-04-22,Johnson&Johnson,30755
Cyprus,2022-04-22,Moderna,194136
Cyprus,2022-04-22,Novavax,112
Cyprus,2022-04-22,Pfizer/BioNTech,1223967
Cyprus,2022-04-29,Johnson&Johnson,30780
Cyprus,2022-04-29,Moderna,194855
Cyprus,2022-04-29,Novavax,120
Cyprus,2022-04-29,Pfizer/BioNTech,1228351
Cyprus,2022-05-06,Johnson&Johnson,30791
Cyprus,2022-05-06,Moderna,195685
Cyprus,2022-05-06,Novavax,125
Cyprus,2022-05-06,Pfizer/BioNTech,1232744
Cyprus,2022-05-13,Johnson&Johnson,30809
Cyprus,2022-05-13,Moderna,196297
Cyprus,2022-05-13,Novavax,128
Cyprus,2022-05-13,Pfizer/BioNTech,1236086
Cyprus,2022-05-20,Johnson&Johnson,30818
Cyprus,2022-05-20,Moderna,196701
Cyprus,2022-05-20,Novavax,133
Cyprus,2022-05-20,Pfizer/BioNTech,1238672
Cyprus,2022-05-27,Johnson&Johnson,30824
Cyprus,2022-05-27,Moderna,196911
Cyprus,2022-05-27,Novavax,135
Cyprus,2022-05-27,Pfizer/BioNTech,1240942
Cyprus,2022-06-03,Moderna,197011
Cyprus,2022-06-03,Pfizer/BioNTech,1241877
Cyprus,2022-06-10,Johnson&Johnson,30833
Cyprus,2022-06-10,Moderna,197137
Cyprus,2022-06-10,Novavax,140
Cyprus,2022-06-10,Pfizer/BioNTech,1243158
Cyprus,2022-06-17,Johnson&Johnson,30844
Cyprus,2022-06-17,Moderna,197207
Cyprus,2022-06-17,Novavax,144
Cyprus,2022-06-17,Pfizer/BioNTech,1244071
Cyprus,2022-06-24,Johnson&Johnson,30859
Cyprus,2022-06-24,Moderna,197345
Cyprus,2022-06-24,Novavax,157
Cyprus,2022-06-24,Pfizer/BioNTech,1245548
Cyprus,2022-07-01,Johnson&Johnson,30869
Cyprus,2022-07-01,Moderna,197511
Cyprus,2022-07-01,Novavax,248
Cyprus,2022-07-01,Pfizer/BioNTech,1247687
Cyprus,2022-07-08,Johnson&Johnson,30877
Cyprus,2022-07-08,Moderna,197530
Cyprus,2022-07-08,Novavax,325
Cyprus,2022-07-08,Pfizer/BioNTech,1250572
Cyprus,2022-07-15,Johnson&Johnson,30884
Cyprus,2022-07-15,Moderna,197561
Cyprus,2022-07-15,Novavax,346
Cyprus,2022-07-15,Pfizer/BioNTech,1253453
Cyprus,2022-07-22,Johnson&Johnson,30896
Cyprus,2022-07-22,Moderna,197575
Cyprus,2022-07-22,Novavax,435
Cyprus,2022-07-22,Pfizer/BioNTech,1255187
Cyprus,2022-07-29,Johnson&Johnson,30908
Cyprus,2022-07-29,Moderna,197589
Cyprus,2022-07-29,Novavax,524
Cyprus,2022-07-29,Pfizer/BioNTech,1256921
Cyprus,2022-08-05,Johnson&Johnson,30917
Cyprus,2022-08-05,Novavax,667
Cyprus,2022-08-05,Pfizer/BioNTech,1257628
Cyprus,2022-08-12,Johnson&Johnson,30923
Cyprus,2022-08-12,Novavax,745
Cyprus,2022-08-12,Pfizer/BioNTech,1258349
Cyprus,2022-08-19,Johnson&Johnson,30930
Cyprus,2022-08-19,Novavax,806
Cyprus,2022-08-19,Pfizer/BioNTech,1258751
Cyprus,2022-08-26,Johnson&Johnson,30936
Cyprus,2022-08-26,Novavax,867
Cyprus,2022-08-26,Pfizer/BioNTech,1259182
Cyprus,2022-09-02,Johnson&Johnson,30942
Cyprus,2022-09-02,Novavax,895
Cyprus,2022-09-02,Pfizer/BioNTech,1259629
Czechia,2020-12-27,Pfizer/BioNTech,1286
Czechia,2020-12-28,Pfizer/BioNTech,3589
Czechia,2020-12-29,Pfizer/BioNTech,7060
Czechia,2020-12-30,Pfizer/BioNTech,10575
Czechia,2020-12-31,Pfizer/BioNTech,11888
Czechia,2021-01-01,Moderna,1
Czechia,2021-01-01,Pfizer/BioNTech,12158
Czechia,2021-01-02,Moderna,3
Czechia,2021-01-02,Pfizer/BioNTech,13443
Czechia,2021-01-03,Moderna,4
Czechia,2021-01-03,Pfizer/BioNTech,14369
Czechia,2021-01-04,Moderna,12
Czechia,2021-01-04,Pfizer/BioNTech,17967
Czechia,2021-01-05,Moderna,15
Czechia,2021-01-05,Pfizer/BioNTech,22483
Czechia,2021-01-06,Moderna,18
Czechia,2021-01-06,Pfizer/BioNTech,28325
Czechia,2021-01-07,Moderna,21
Czechia,2021-01-07,Pfizer/BioNTech,36320
Czechia,2021-01-08,Moderna,22
Czechia,2021-01-08,Pfizer/BioNTech,46372
Czechia,2021-01-09,Moderna,24
Czechia,2021-01-09,Pfizer/BioNTech,48398
Czechia,2021-01-10,Oxford/AstraZeneca,2
Czechia,2021-01-10,Pfizer/BioNTech,50172
Czechia,2021-01-11,Moderna,25
Czechia,2021-01-11,Pfizer/BioNTech,60029
Czechia,2021-01-12,Moderna,29
Czechia,2021-01-12,Pfizer/BioNTech,73483
Czechia,2021-01-13,Covaxin,1
Czechia,2021-01-13,Moderna,31
Czechia,2021-01-13,Pfizer/BioNTech,87027
Czechia,2021-01-13,Sinovac,1
Czechia,2021-01-14,Moderna,1263
Czechia,2021-01-14,Pfizer/BioNTech,101045
Czechia,2021-01-15,Moderna,2034
Czechia,2021-01-15,Pfizer/BioNTech,114295
Czechia,2021-01-16,Moderna,2362
Czechia,2021-01-16,Pfizer/BioNTech,117374
Czechia,2021-01-17,Moderna,2459
Czechia,2021-01-17,Pfizer/BioNTech,120531
Czechia,2021-01-18,Moderna,2640
Czechia,2021-01-18,Pfizer/BioNTech,134664
Czechia,2021-01-19,Moderna,3421
Czechia,2021-01-19,Pfizer/BioNTech,149218
Czechia,2021-01-20,Moderna,5009
Czechia,2021-01-20,Pfizer/BioNTech,163986
Czechia,2021-01-21,Moderna,5976
Czechia,2021-01-21,Pfizer/BioNTech,180415
Czechia,2021-01-22,Moderna,6181
Czechia,2021-01-22,Pfizer/BioNTech,196141
Czechia,2021-01-23,Moderna,6223
Czechia,2021-01-23,Pfizer/BioNTech,200297
Czechia,2021-01-24,Moderna,6347
Czechia,2021-01-24,Pfizer/BioNTech,203299
Czechia,2021-01-25,Moderna,6549
Czechia,2021-01-25,Pfizer/BioNTech,215715
Czechia,2021-01-26,Moderna,6829
Czechia,2021-01-26,Pfizer/BioNTech,229965
Czechia,2021-01-27,Covaxin,2
Czechia,2021-01-27,Moderna,7136
Czechia,2021-01-27,Pfizer/BioNTech,243220
Czechia,2021-01-27,Sinovac,2
Czechia,2021-01-28,Moderna,7262
Czechia,2021-01-28,Pfizer/BioNTech,256330
Czechia,2021-01-29,Moderna,7417
Czechia,2021-01-29,Oxford/AstraZeneca,3
Czechia,2021-01-29,Pfizer/BioNTech,270299
Czechia,2021-01-30,Moderna,7421
Czechia,2021-01-30,Pfizer/BioNTech,272124
Czechia,2021-01-31,Moderna,7426
Czechia,2021-01-31,Pfizer/BioNTech,274020
Czechia,2021-02-01,Moderna,7690
Czechia,2021-02-01,Pfizer/BioNTech,285706
Czechia,2021-02-02,Moderna,8023
Czechia,2021-02-02,Pfizer/BioNTech,299770
Czechia,2021-02-03,Moderna,8767
Czechia,2021-02-03,Pfizer/BioNTech,314469
Czechia,2021-02-04,Moderna,9913
Czechia,2021-02-04,Pfizer/BioNTech,331215
Czechia,2021-02-05,Moderna,11111
Czechia,2021-02-05,Pfizer/BioNTech,346160
Czechia,2021-02-06,Moderna,11377
Czechia,2021-02-06,Oxford/AstraZeneca,10
Czechia,2021-02-06,Pfizer/BioNTech,349110
Czechia,2021-02-07,Moderna,11642
Czechia,2021-02-07,Oxford/AstraZeneca,11
Czechia,2021-02-07,Pfizer/BioNTech,352193
Czechia,2021-02-08,Moderna,12560
Czechia,2021-02-08,Oxford/AstraZeneca,18
Czechia,2021-02-08,Pfizer/BioNTech,366783
Czechia,2021-02-09,Moderna,14226
Czechia,2021-02-09,Oxford/AstraZeneca,20
Czechia,2021-02-09,Pfizer/BioNTech,382137
Czechia,2021-02-10,Moderna,15991
Czechia,2021-02-10,Oxford/AstraZeneca,25
Czechia,2021-02-10,Pfizer/BioNTech,399141
Czechia,2021-02-11,Moderna,19384
Czechia,2021-02-11,Oxford/AstraZeneca,260
Czechia,2021-02-11,Pfizer/BioNTech,418072
Czechia,2021-02-12,Moderna,21692
Czechia,2021-02-12,Oxford/AstraZeneca,672
Czechia,2021-02-12,Pfizer/BioNTech,436922
Czechia,2021-02-13,Moderna,22195
Czechia,2021-02-13,Oxford/AstraZeneca,1118
Czechia,2021-02-13,Pfizer/BioNTech,440579
Czechia,2021-02-14,Moderna,22446
Czechia,2021-02-14,Oxford/AstraZeneca,1323
Czechia,2021-02-14,Pfizer/BioNTech,442516
Czechia,2021-02-15,Moderna,23867
Czechia,2021-02-15,Oxford/AstraZeneca,2074
Czechia,2021-02-15,Pfizer/BioNTech,456107
Czechia,2021-02-16,Moderna,26350
Czechia,2021-02-16,Oxford/AstraZeneca,3253
Czechia,2021-02-16,Pfizer/BioNTech,470240
Czechia,2021-02-17,Moderna,29105
Czechia,2021-02-17,Oxford/AstraZeneca,5311
Czechia,2021-02-17,Pfizer/BioNTech,483443
Czechia,2021-02-18,Moderna,31463
Czechia,2021-02-18,Oxford/AstraZeneca,7328
Czechia,2021-02-18,Pfizer/BioNTech,499475
Czechia,2021-02-19,Moderna,32874
Czechia,2021-02-19,Oxford/AstraZeneca,9071
Czechia,2021-02-19,Pfizer/BioNTech,515562
Czechia,2021-02-20,Moderna,32883
Czechia,2021-02-20,Oxford/AstraZeneca,9757
Czechia,2021-02-20,Pfizer/BioNTech,518062
Czechia,2021-02-20,Sinovac,3
Czechia,2021-02-21,Moderna,32985
Czechia,2021-02-21,Oxford/AstraZeneca,10025
Czechia,2021-02-21,Pfizer/BioNTech,519856
Czechia,2021-02-22,Moderna,33989
Czechia,2021-02-22,Oxford/AstraZeneca,11641
Czechia,2021-02-22,Pfizer/BioNTech,533400
Czechia,2021-02-23,Moderna,34785
Czechia,2021-02-23,Oxford/AstraZeneca,14389
Czechia,2021-02-23,Pfizer/BioNTech,549810
Czechia,2021-02-24,Moderna,36130
Czechia,2021-02-24,Oxford/AstraZeneca,17328
Czechia,2021-02-24,Pfizer/BioNTech,565451
Czechia,2021-02-25,Moderna,37315
Czechia,2021-02-25,Oxford/AstraZeneca,21694
Czechia,2021-02-25,Pfizer/BioNTech,583426
Czechia,2021-02-26,Moderna,38173
Czechia,2021-02-26,Oxford/AstraZeneca,25054
Czechia,2021-02-26,Pfizer/BioNTech,600745
Czechia,2021-02-27,Moderna,38347
Czechia,2021-02-27,Oxford/AstraZeneca,25678
Czechia,2021-02-27,Pfizer/BioNTech,603515
Czechia,2021-02-28,Moderna,38544
Czechia,2021-02-28,Oxford/AstraZeneca,26159
Czechia,2021-02-28,Pfizer/BioNTech,605747
Czechia,2021-03-01,Moderna,40157
Czechia,2021-03-01,Oxford/AstraZeneca,30231
Czechia,2021-03-01,Pfizer/BioNTech,623108
Czechia,2021-03-02,Moderna,42044
Czechia,2021-03-02,Oxford/AstraZeneca,39639
Czechia,2021-03-02,Pfizer/BioNTech,642603
Czechia,2021-03-03,Moderna,45782
Czechia,2021-03-03,Oxford/AstraZeneca,49479
Czechia,2021-03-03,Pfizer/BioNTech,664488
Czechia,2021-03-04,Moderna,50587
Czechia,2021-03-04,Oxford/AstraZeneca,58869
Czechia,2021-03-04,Pfizer/BioNTech,688261
Czechia,2021-03-05,Johnson&Johnson,2
Czechia,2021-03-05,Moderna,54242
Czechia,2021-03-05,Oxford/AstraZeneca,67288
Czechia,2021-03-05,Pfizer/BioNTech,710456
Czechia,2021-03-06,Johnson&Johnson,9
Czechia,2021-03-06,Moderna,55653
Czechia,2021-03-06,Oxford/AstraZeneca,71806
Czechia,2021-03-06,Pfizer/BioNTech,717541
Czechia,2021-03-07,Johnson&Johnson,11
Czechia,2021-03-07,Moderna,57055
Czechia,2021-03-07,Oxford/AstraZeneca,75979
Czechia,2021-03-07,Pfizer/BioNTech,724354
Czechia,2021-03-07,Sinopharm/Beijing,1
Czechia,2021-03-08,Johnson&Johnson,14
Czechia,2021-03-08,Moderna,60166
Czechia,2021-03-08,Oxford/AstraZeneca,83915
Czechia,2021-03-08,Pfizer/BioNTech,747907
Czechia,2021-03-09,Johnson&Johnson,16
Czechia,2021-03-09,Moderna,65525
Czechia,2021-03-09,Oxford/AstraZeneca,95177
Czechia,2021-03-09,Pfizer/BioNTech,774036
Czechia,2021-03-10,Johnson&Johnson,19
Czechia,2021-03-10,Moderna,70592
Czechia,2021-03-10,Oxford/AstraZeneca,106126
Czechia,2021-03-10,Pfizer/BioNTech,806293
Czechia,2021-03-11,Johnson&Johnson,22
Czechia,2021-03-11,Moderna,74906
Czechia,2021-03-11,Oxford/AstraZeneca,117979
Czechia,2021-03-11,Pfizer/BioNTech,843357
Czechia,2021-03-12,Johnson&Johnson,24
Czechia,2021-03-12,Moderna,80375
Czechia,2021-03-12,Oxford/AstraZeneca,130264
Czechia,2021-03-12,Pfizer/BioNTech,872855
Czechia,2021-03-12,Sinovac,4
Czechia,2021-03-13,Johnson&Johnson,27
Czechia,2021-03-13,Moderna,81699
Czechia,2021-03-13,Oxford/AstraZeneca,133286
Czechia,2021-03-13,Pfizer/BioNTech,886930
Czechia,2021-03-14,Johnson&Johnson,30
Czechia,2021-03-14,Moderna,82839
Czechia,2021-03-14,Oxford/AstraZeneca,134214
Czechia,2021-03-14,Pfizer/BioNTech,898131
Czechia,2021-03-15,Johnson&Johnson,31
Czechia,2021-03-15,Moderna,89677
Czechia,2021-03-15,Oxford/AstraZeneca,142270
Czechia,2021-03-15,Pfizer/BioNTech,920412
Czechia,2021-03-16,Johnson&Johnson,34
Czechia,2021-03-16,Moderna,98920
Czechia,2021-03-16,Oxford/AstraZeneca,151027
Czechia,2021-03-16,Pfizer/BioNTech,951834
Czechia,2021-03-17,Moderna,106683
Czechia,2021-03-17,Oxford/AstraZeneca,160041
Czechia,2021-03-17,Pfizer/BioNTech,983059
Czechia,2021-03-18,Johnson&Johnson,39
Czechia,2021-03-18,Moderna,113879
Czechia,2021-03-18,Oxford/AstraZeneca,169416
Czechia,2021-03-18,Pfizer/BioNTech,1016905
Czechia,2021-03-19,Johnson&Johnson,41
Czechia,2021-03-19,Moderna,119997
Czechia,2021-03-19,Oxford/AstraZeneca,178252
Czechia,2021-03-19,Pfizer/BioNTech,1050075
Czechia,2021-03-20,Johnson&Johnson,49
Czechia,2021-03-20,Moderna,121152
Czechia,2021-03-20,Oxford/AstraZeneca,180730
Czechia,2021-03-20,Pfizer/BioNTech,1063639
Czechia,2021-03-21,Johnson&Johnson,51
Czechia,2021-03-21,Moderna,121482
Czechia,2021-03-21,Oxford/AstraZeneca,181227
Czechia,2021-03-21,Pfizer/BioNTech,1071818
Czechia,2021-03-22,Johnson&Johnson,54
Czechia,2021-03-22,Moderna,125830
Czechia,2021-03-22,Oxford/AstraZeneca,188126
Czechia,2021-03-22,Pfizer/BioNTech,1097637
Czechia,2021-03-23,Johnson&Johnson,58
Czechia,2021-03-23,Moderna,129705
Czechia,2021-03-23,Oxford/AstraZeneca,195791
Czechia,2021-03-23,Pfizer/BioNTech,1126130
Czechia,2021-03-24,Johnson&Johnson,62
Czechia,2021-03-24,Moderna,133881
Czechia,2021-03-24,Oxford/AstraZeneca,203599
Czechia,2021-03-24,Pfizer/BioNTech,1156783
Czechia,2021-03-25,Johnson&Johnson,63
Czechia,2021-03-25,Moderna,137948
Czechia,2021-03-25,Oxford/AstraZeneca,211137
Czechia,2021-03-25,Pfizer/BioNTech,1189389
Czechia,2021-03-26,Johnson&Johnson,64
Czechia,2021-03-26,Moderna,140529
Czechia,2021-03-26,Oxford/AstraZeneca,216908
Czechia,2021-03-26,Pfizer/BioNTech,1223387
Czechia,2021-03-27,Johnson&Johnson,67
Czechia,2021-03-27,Moderna,141780
Czechia,2021-03-27,Oxford/AstraZeneca,217821
Czechia,2021-03-27,Pfizer/BioNTech,1234527
Czechia,2021-03-27,Sinovac,6
Czechia,2021-03-28,Moderna,143326
Czechia,2021-03-28,Oxford/AstraZeneca,217953
Czechia,2021-03-28,Pfizer/BioNTech,1242544
Czechia,2021-03-28,Sinopharm/Beijing,2
Czechia,2021-03-28,Sinovac,7
Czechia,2021-03-29,Johnson&Johnson,71
Czechia,2021-03-29,Moderna,149340
Czechia,2021-03-29,Oxford/AstraZeneca,221739
Czechia,2021-03-29,Pfizer/BioNTech,1272630
Czechia,2021-03-30,Johnson&Johnson,77
Czechia,2021-03-30,Moderna,158222
Czechia,2021-03-30,Oxford/AstraZeneca,227119
Czechia,2021-03-30,Pfizer/BioNTech,1305256
Czechia,2021-03-31,Johnson&Johnson,85
Czechia,2021-03-31,Moderna,169278
Czechia,2021-03-31,Oxford/AstraZeneca,232120
Czechia,2021-03-31,Pfizer/BioNTech,1339415
Czechia,2021-04-01,Johnson&Johnson,99
Czechia,2021-04-01,Moderna,180034
Czechia,2021-04-01,Oxford/AstraZeneca,236728
Czechia,2021-04-01,Pfizer/BioNTech,1381776
Czechia,2021-04-02,Johnson&Johnson,119
Czechia,2021-04-02,Moderna,182605
Czechia,2021-04-02,Oxford/AstraZeneca,237333
Czechia,2021-04-02,Pfizer/BioNTech,1398340
Czechia,2021-04-03,Johnson&Johnson,122
Czechia,2021-04-03,Moderna,184319
Czechia,2021-04-03,Oxford/AstraZeneca,237559
Czechia,2021-04-03,Pfizer/BioNTech,1410986
Czechia,2021-04-04,Johnson&Johnson,127
Czechia,2021-04-04,Moderna,185642
Czechia,2021-04-04,Oxford/AstraZeneca,237579
Czechia,2021-04-04,Pfizer/BioNTech,1421107
Czechia,2021-04-05,Johnson&Johnson,138
Czechia,2021-04-05,Moderna,187060
Czechia,2021-04-05,Oxford/AstraZeneca,237665
Czechia,2021-04-05,Pfizer/BioNTech,1429221
